publish_date,rumor,fact,ents
2020/3/19,Can hot/humid climates stop spread of COVID-19?,"From the evidence so far, the COVID-19 virus can be transmitted in ALL AREAS, including areas with hot and humid weather, according to the World Health Organization. Regardless of climate, adopt protective measures if you live in, or travel to an area reporting COVID-19, the WHO advises on its official website. The best way to protect yourself against COVID-19 is by frequently cleaning your hands, the WHO website says. By doing this you eliminate viruses that may be on your hands and avoid infection that could occur by then touching your eyes, mouth, and nose.","COVID-19,World Health Organization,WHO"
2020/3/19,Can a COVID-19 patient recover without treatment?,"The novel coronavirus is not a disease that will be recovered from without treatment, said Wang Guiqiang, an infectious disease doctor at Peking University First Hospital. Some elderly who have underlying diseases may develop complications, and get severely ill, or die. Even for patients with mild symptoms, there is a risk of their conditions worsening suddenly, so treatment is necessary. Once the novel coronavirus has been detected, one should go immediately to the hospital for treatment.","who,treatment,coronavirus,novel coronavirus"
2020/3/20,Can freshwater fish transmit virus?,"Rumors have spread that freshwater fish are no longer safe to eat, as fish ponds in some regions are built along or over toilets and used to rinse chamber pots, which some claim could transmit the novel coronavirus through the fecal-oral route. First, no studies at present have shown the water-borne virus is infectious, so there isn't any chance people would get infections directly from fish. Second, different types of viruses can only infect certain species of hosts over a selected temperature range. For novel coronavirus, it mostly attacks mammals, including humans, that are endothermic or warm-blooded, and the average human body temperature of around 36 degrees Celsius is most favorable for the infection and reproduction of the novel coronavirus. But most freshwater fish cannot survive at this temperature, showing they can't catch or even transmit the virus. Cooking at a high temperature is recommended before eating freshwater fish no matter what, as the novel coronavirus can be deactivated after 30 minutes at a minimum temperature of 56 degrees. Good hand hygiene is, as always, needed after dealing with the ingredients.","coronavirus,novel coronavirus"
2020/3/21,Should I peel fruit before eating during the pandemic?,"Many people worry the coronavirus can contaminate fruit and believe only peeled fruits are safe to eat. In fact, as a type of animal virus, novel coronavirus is mainly transmitted through respiratory droplets and close contact. It is unlikely to survive on fruit or vegetables. There have been no reports of humans being infected after eating fruits or vegetables. Washing fruits with running water for 15 to 30 seconds can effectively reduce pesticide residue, bacteria and virus potentially present on the surface. There are many kinds of fruits whose skins are rich in nutrition. Grape skins, for example, contain resveratrol and anthocyanins that can protect blood vessels and strengthen immunity. Apple skin is an excellent source of dietary fiber and promotes digestion. The vitamin C it contains is a great antioxidant, which helps reduce the effects of aging. Therefore, it is both safe and beneficial to eat fruit with the skin on.",coronavirus
2020/3/28,Men more likely to catch novel coronavirus?,"Male patients comprise 55.9 percent of 6,013 cases collected from Jan 1 to 29, 2020, according to a study recently published by a research group from Renmin Hospital of Wuhan University on an online academic platform. In addition, 47 of the 67 asymptomatic infections confirmed in their hospital are women, which show a higher ratio of severity in male cases, according to the study. The study pointed out that men are more likely to be transmitted by the novel coronavirus and develop severe symptoms. Researchers speculate that this may be due to the different immune mechanisms between the two genders. Men and women are inherently different in terms of responding to virus infections. Generally, on the premise of the same exposure to the virus, men are more likely to get infected with more viral load than women; whereas when faced with the same level of infections, women may have more severe symptoms and poorer prognosis. Women have a higher level of immune response than men, including both nonspecific and specific immunity, which enables them to get rid of virus more quickly but suffer from immune overreactions. For example, they often produce higher levels of antibodies and have more serious adverse reactions after anti-viral vaccinations. In addition, sex hormones and the varied levels of immune gene expressions also lead to the gender difference in immune responses. However, with incomplete data, it is still too early to define the gender vulnerability to the novel coronavirus and severity of symptoms between genders. The figures under study only cover the period of January, and there are undoubtedly cases of the virus that are not reflected in the data. More data and research are needed to make a convincingly final conclusion. Moreover, the study has not been peer reviewed nor formally published.","confirmed,Wuhan,cases,immune responses,coronavirus,asymptomatic"
2020/3/30,Can COVID-19 virus spread through drinking water?,"The COVID-19 virus has not been detected in drinking water. Conventional water treatment methods that use filtration and disinfection, such as those in most municipal drinking water systems, should remove or inactivate the virus that causes COVID-19.",COVID-19
2020/3/30,Is the COVID-19 virus found in feces?,"The virus that causes COVID-19 has been detected in the feces of some patients diagnosed with COVID-19. The amount of virus released from the body (shed) in stool, how long the virus is shed, and whether the virus in stool is infectious are not known. The risk of transmission of COVID-19 from the feces of an infected person is also unknown. However, the risk is expected to be low based on data from previous outbreaks of related coronaviruses, such as severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS). There have been no reports of fecal-oral transmission of COVID-19 to date.","COVID-19,transmission"
2020/3/30,Can the COVID-19 virus spread through pools and hot tubs?,"There is no evidence that COVID-19 can be spread to humans through the use of pools and hot tubs. Proper operation, maintenance, and disinfection (e.g., with chlorine and bromine) of pools and hot tubs should remove or inactivate the virus that causes COVID-19.",COVID-19
2020/3/30,Can the COVID-19 virus spread through sewerage systems?,"CDC is reviewing all data on COVID-19 transmission as information becomes available. At this time, the risk of transmission of the virus that causes COVID-19 through sewerage systems is thought to be low. Although transmission of COVID-19 through sewage may be possible, there is no evidence to date that this has occurred. This guidance will be updated as necessary as new evidence is assessed. SARS, a similar coronavirus, has been detected in untreated sewage for up to 2 to 14 days. In the 2003 SARS outbreak, there was documented transmission associated with sewage aerosols. Data suggest that standard municipal wastewater system chlorination practices may be sufficient to inactivate coronaviruses, as long as utilities monitor free available chlorine during treatment to ensure it has not been depleted. Wastewater and sewage workers should use standard practices, practice basic hygiene precautions, and wear personal protective equipment (PPE) as prescribed for current work tasks.","personal protective equipment,transmission,COVID-19,coronavirus,outbreak,treatment"
2020/3/30,Should wastewater workers take extra precautions to protect themselves from the COVID-19 virus?,"Wastewater treatment plant operations should ensure workers follow routine practices to prevent exposure to wastewater. These include using engineering and administrative controls, safe work practices, and?PPE?normally required for work tasks when handling untreated wastewater. No additional COVID-19¨Cspecific protections are recommended for employees involved in wastewater management operations, including those at wastewater treatment facilities.",treatment
2020/4/1,Does sharing thermometer spread coronavirus?,"Our inner body is protected by the wall of skin against virus and using a shared mercury thermometer by an infected patient is not likely to be affected by the novel coronavirus. The virus is mainly spread through droplet discharged by patients or close contact with them. A shared mercury thermometer may carry the virus if it comes into contact with hands of infected patients if they leave their droplets on it. The shared thermometer used in hospitals and other public health institutes are disinfected after one use to kill the virus. Do remember to wash hands carefully and avoid touching eyes, nose and mouth with uncleaned hands as the virus may enter your body through these mucosal tissue. Give special protection to broken skin to prevent the virus from entering from the broken parts.","coronavirus,novel coronavirus,public health"
2020/4/3,Can coronavirus be spread through the air?,"The virus that causes COVID-19 is primarily transmitted through ""respiratory droplets and close contacts"", and it doesn't seem to stay long in the air, according to a recent publication released by the World Health Organization. According to the publication on the WHO's official website, respiratory infections can be transmitted through droplets of different sizes. Droplet transmission occurs when you have close contact (within 1 meter) with a person who has respiratory symptoms such as coughing or sneezing, which may spread these potentially infectious droplets, typically 5-10 microns in size, to your body. Transmission may also occur by touching surfaces or objects in the immediate environment around the infected person. Airborne transmission is different from droplet transmission, as it refers to the presence of microbes within droplet nuclei, which are generally considered to be smaller particles of less than 5 microns in diameter, and which can remain in the air for long periods of time and be transmitted to others over distances greater than 1 meter. In the context of COVID-19, airborne transmission may be possible in specific circumstances in which procedures or support treatments that generate aerosols are performed, such as intubation within a patient's windpipe, disconnecting a patient from a ventilator, and cardiopulmonary resuscitation (CPR). According to the publication, no cases of transmission by air were reported in an analysis of 75,465 patients with the coronavirus in China. Based on the current evidence, the World Health Organization continues to recommend droplet and contact precautions for those people caring for COVID-19 patients. And it's recommended that people take measures to prevent possible transmission by air when performing medical operations that produce aerosols.","cases,WHO,transmission,World Health Organization,who,COVID-19,China,coronavirus"
2020/4/4,Can novel coronavirus stay in the body for years?,"A rumor claims the novel coronavirus, the pathogen that causes COVID-19, can remain in the body of an infected person for years and requires lifelong medication, as with the infection of hepatitis B, where a patient is a chronic carrier of the virus. The misunderstanding was debunked by Hou Jinlin, an infectious disease physician with Nanfang Hospital in Guangzhou. Hou said COVID-19, an acute infectious disease, is totally different from hepatitis B, which is a chronic disease. For hepatitis B patients, antibodies are constantly generated to neutralize the viruses. If antibodies cannot be detected, it is because viruses are constantly replicating and antibodies are generated to neutralize them. Otherwise, it indicates viruses have been deactivated. For most people, medicine treatment can't cure chronic hepatitis B, only suppressing the replication of the virus. Therefore, most people who start treatment must continue it for life, according to information published by World Health Organization. COVID-19 is an acute respiratory disease, and the virus won't stay hidden for a lifetime in a person's body once the disease has been cured, Hou said. The novel coronavirus is usually cleared within 14 days if a patient has a strong immune system, and then antibodies will be detected. Hou added, however, a small amount of the novel coronavirus can still replicate after the antibody has been produced in a person's body, which means patients could still spread the virus to others. Therefore, the production of antibodies shouldn't be regarded as a standard for a patient to get discharged from the hospital. Patients in China can get discharged after two consecutive negative nucleic acid tests, taken at least 24 hours apart, and by exhibiting indications of clinical recovery, including body temperature, respiratory symptoms and CT lung screening, according to the latest version of diagnostic guidance released by the National Health Commission.","novel coronavirus,CT,World Health Organization,nucleic acid,COVID-19,who,China,replication,coronavirus,respiratory disease,treatment,antibodies"
2020/4/10,Can catkins spread novel coronavirus?,"Each year from April to early May is catkin season in northern China. People worry that these fluffy balls released from willow and poplar trees can spread novel coronavirus. But in fact, there isn't any evidence that viruses are contained in the catkins or pollen. The novel coronavirus is mainly transmitted by respiratory droplets, with particles that are relatively large in size. An infection is only caused by inhaling them in large amounts at a close distance. Aerosols, formed by dehydrated droplets that contain proteins and viruses, can float and spread in the air. But it is hard for the virus to survive without the proper temperature and humidity. It won't stay in the air for long. Even if the virus stayed on a catkin, its concentration level would be too low to cause infections. On the other hand, people still need to protect themselves from catkins as these pollen grains can cause allergies. For people with a sensitivity to pollen, inhaling catkins can cause nasal itching, sneezing, an itchy throat, headaches and allergic asthma - which in severe cases may lead to death by anaphylaxis. To fight pollen allergies, wearing a mask is recommended to prevent inhaling catkins. Other effective measures include immediate washing of the hands, nose and face after coming back in from outside, prompt removal of catkins which are indoors or attached to clothes, a bland diet, drinking plenty of water and increasing indoor humidity. When going outdoors, try to choose a time when there are fewer flying catkins and avoid wearing a coat with a fabric that collects the catkins.","cases,novel coronavirus,China,coronavirus,sensitivity"
2020/4/11,Can wash-free hand sanitizer really replace hand washing before meals?,"Some people do not think it necessary to wash their hands before eating meals once they apply wash-free hand sanitizer. In fact, there can be large amount of residual material left on hands after application (the alcohol-based type leaves a smaller residue, which is still inedible). Touching food directly may damage people's health. The sanitizer is used when water and soap are not available, and is only applied to dry hands. Washing with running water and soap is considered the best way to achieve hand hygiene.",
2020/4/17,Do 5G mobile networks spread COVID-19?,"Viruses cannot travel on radio waves/mobile networks. COVID-19 is spreading in many countries that do not have 5G mobile networks.  COVID-19 is spread through respiratory droplets when an infected person coughs, sneezes or speaks. People can also be infected by touching a contaminated surface and then their eyes, mouth or nose.",COVID-19
2020/4/17,Does expose yourself to the sun or to temperatures higher than 25C degrees prevent COVID-19?,"You can catch COVID-19, no matter how sunny or hot the weather is. Countries with hot weather have reported cases of COVID-19. To protect yourself, make sure you clean your hands frequently and thoroughly and avoid touching your eyes, mouth, and nose.","COVID-19,cases"
2020/4/17,Does catching the new coronavirus mean you will have it for life?,"Most of the people who catch COVID-19 can recover and eliminate the virus from their bodies. If you catch the disease, make sure you treat your symptoms. If you have cough, fever, and difficulty breathing, seek medical care early ¨C but call your health facility by telephone first. Most patients recover thanks to supportive care.","COVID-19,who"
2020/4/28,The COVID-19 virus is engineered at a Chinese laboratory,All evidence points to that SARS-CoV-2 has originated in nature.,
2020/4/28,The SARS-CoV-2 was released as the result of lab accident at the Wuhan Institute of Virology.,"Established in 1956, the institute is the top virology research agency in China and home to Asia's highest-level biosafety lab. The institute's P4 biosecurity lab can handle the deadliest pathogens in the world. The laboratory is about 30 kilometers away from the center of Wuhan. It is impossible for the virus to leak from such a high-security laboratory, said Yuan Zhiming, a researcher at Wuhan Institute of Virology, in an interview with CGTN on April 18. He said there is no way the virus could have originated from the institute. Before accepting the first batch of test samples of COVID-19 patients on Dec 30, the institute's labs did not have the novel coronavirus. As of now, no one in the institute has contracted COVID-19. It is understandable that people would have speculation about the institute, he said. But if some people try to deliberately mislead the public, their behavior is repugnant.","Wuhan,novel coronavirus,China,COVID-19,coronavirus,pathogens"
2020/4/28,The novel coronavirus is a Chinese virus because it came from Wuhan.,"The official name for the virus is SARS-CoV-2. Wuhan is where the COVID-19 case was first reported, but it is not necessary the place where the virus originates. In December 2019, Wuhan reported the first COVID-19 case, which was then called pneumonia of unknown cause. But scientists so far do not know the exact origin of the virus. Historically speaking, a place where a virus was first reported is often not where it had originated. For example, cases of HIV infection were initially reported in the United States, but its origin was most likely in West Africa. The Marburg virus was first discovered in Marburg, Hesse, Germany, but it was most likely originated in Uganda.","Wuhan,cases,Uganda,COVID-19,Germany"
2020/4/28,"As early as mid-November, China has known about the COVID-19 outbreak but withheld the information for 45 days.","Chinese authorities first received a report of the pneumonia case of unknown cause on Dec 27 and released its first outbreak notice on Dec 31. On Dec 27, 2019, Zhang Jixian, director of the Department of Respiratory Medicine at the Hubei Provincial Hospital of Integrated Chinese and Western Medicine, reported three pneumonia cases of unknown cause to the Center for Disease Control and Prevention at Jianghan district in Wuhan. This was the first time that Chinese authorities obtained information about the disease. Zhang shared the reporting process at a recent interview.","Wuhan,cases,Department,pneumonia,outbreak"
2020/4/28,"China has withheld key information about the epidemic, which has led to a worldwide pandemic.","China has notified the world as early as possible, and resorted to the strictest epidemic control measures, which gave at least six weeks for other countries to get prepared for the outbreak. China has notified the WHO at an early stage. 1. On Dec 31, the WHO China Office was informed of pneumonia cases of unknown cause detected in Wuhan. 2. Starting Jan 3, China began to share epidemic data with the WHO, Hong Kong and Macao Special Administrative Regions, and other countries including the United States. 3. On Jan 8, the National Health Commission expert panel made an initial judgement that the novel coronavirus caused the epidemic. 4. On Jan 12, China submitted to the WHO the genome sequence of the novel coronavirus, which was published by the Global Initiative on Sharing All Influenza Data and shared globally. 5. On Jan 16, China optimized the PCR Diagnostic Reagent 6. On Jan 20, the National Health Commission notified that the novel coronavirus could pass among humans, based on clinical evidence.","Wuhan,cases,novel coronavirus,WHO,China,coronavirus,outbreak,epidemic,Macao"
2020/4/28,China attempted to suppress information about the epidemic by arresting whistle-blowing doctors.,"No doctors have been arrested for whistle-blowing. In contrary, doctors who reported the disease to their higher-ups were rewarded by central authorities. On Dec 30, Wuhan ophthalmologist Li Wenliang shared a lung CT scan and other medical records in a private WeChat (a popular instant-messaging app in China) group with his medical school classmates. Li claimed seven people were confirmed to have contracted SARS, and reminded the group members not to further spread such information. However, the screenshots were widely shared on the internet. On Jan 3, the Wuhan police reprimanded Li and asked him not to spread SARS-related rumors as they might cause social panic. Li was not fined or arrested, and returned to his post with no further punishment. In mid-January, Li got infected while treating a COVID-19 patient, and tested positive for COVID-19 on Jan 31. He died on Feb 7 after arduous rescue efforts. On the same day, the National Health Commission sent condolences for his death. Doctor Li is not a ""whistle-blower"" in the sense defined by western media. He had never reported the situation to health authorities, nor openly warned the public. As a matter of fact, on Dec 27, Zhang Jixian, another doctor in Wuhan, already notified local authorities about an unknown pneumonia, and the government had been investigating the situation for three days before Li made his claims in WeChat. Zhang was later rewarded for her actions.","confirmed,Wuhan,government,pneumonia,who,COVID-19,China,CT"
2020/4/28,China has whitewashed its COVID-19 confirmed and death cases.,"China has always been transparent on the numbers of confirmed and deceased cases, and has fulfilled its duty of notifying the public. By April 20, Wuhan reported 50,333 confirmed infections and 3,869 deaths, with a crude mortality rate of 7.69 percent, higher than the current global average. China's relatively small numbers of confirmed and death cases were due to the nation's taking the strictest, most comprehensive and timely quarantine measures, including city-wide lockdown. These measures have reduced over 700,000 infections in China, according to an article published by the journal Science on March 30.","confirmed,Wuhan,cases,China"
2020/4/28,China has manipulated the WHO to escape from global criticism.,"The WHO is an independent international organization with 194 members and it is impossible for any single nation to bend it to its will. Of the 21-strong leadership team at the WHO headquarters, 11 of them are from the United States, the European Union and Canada, and only one is from China. Ren Minghui has served as WHO's Assistant Director-General for HIV/AIDS, Tuberculosis, Malaria and Neglected Tropical Diseases since January 2016 and is continuing this work under the new title of Assistant Director-General for Communicable Diseases.","China,WHO,Canada"
2020/4/29,"The Chinese mainland obstructs Taiwan from entering the WHO, which has undermined the health of the people in Taiwan.","Taiwan, being a part of China, does not have the right to join the WHO, because the WHO member must be a sovereign nation. Despite of this, technical communication and cooperation channel between the island and the WHO is always open. The WHO is a specialized United Nations body composed of sovereign countries. Only UN members can join the WHO. Taiwan, being a part of China, is not eligible for membership. However, through consultations with the WHO, the central government of China has made proper arrangements for the application of the International Health Regulations in Taiwan. The island has the access to the WHO information system to timely get the information on public health emergencies released by the WHO. There are no technical barriers for Taiwan of China to work with the WHO. From early 2019 to March 2020, 24 experts from Taiwan, in 16 batches, have attended technical conferences held by the WHO, according to the Taiwan Affairs Office of China's State Council.","WHO,public health,government,China,Taiwan"
2020/4/29,"Taiwan notified the WHO on Dec 31 about human-to-human transmission of the novel coronavirus, but the warning went unheeded.","Taiwan did not notify the WHO. It was seeking information from the WHO after Wuhan publicly reported cases of unknown pneumonia. On Dec 31, after Wuhan announced that the city had detected cases of pneumonia with unknown cause, health authorities in Taiwan contacted the National Health Commission to ask information over the situation, and received a timely written response from the commission. On the same day, health authorities in Taiwan sent a request to the WHO for further information (Details shown below), but mentioned nothing about human-to-human transmission. It is evident that the Chinese mainland first released the information and the Taiwan authority just relayed the information, instead of taking the lead to report the situation to the WHO.","Wuhan,cases,WHO,pneumonia,transmission,Taiwan"
2020/4/29,China is responsible for the outbreak and must compensate the world.,"The virus is a common enemy of the mankind and China is also a victim. There is no legal basis to demand ""compensation"" from China. Under the international law, a state can only be accused of bearing ""state responsibility"" if it has committed an ""internationally wrongful act"", that is, what the state has done has violated its international obligations. In the fight against COVID-19, China has taken timely and effective measures to fulfill its international obligations. The WHO announced the outbreak as the Public Health Emergency of International Concern on Jan 30, a month after China first notified the WHO of the epidemic. This sufficiently demonstrates that China has fulfilled its obligations of notifying the world without any delay. Current international laws and the International Health Regulations provide no basis for holding a state responsible for a pandemic. Some experts on international laws think that if requesting China to be responsible for COVID-19 and make compensations, then who shall be responsible for epidemics like H1N1 influenza, AIDS and Mad Cow Disease?","WHO,Public Health,who,China,COVID-19,outbreak,epidemic"
2020/4/29,China is helping other countries fight COVID-19 only to expand its geopolitical influence.,"China helps other countries out of a humanitarian spirit and gratitude. It also stems from the firm belief in the community with a shared future for mankind. Moreover, China has accumulated some experience in fighting the virus and they may prove useful for others.",China
2020/4/29,Medical supplies imported from China are fake and inferior products.,China carries out strict quality tests on all medical products exported. Part of the problem stems from misuse or different quality standards.,China
2020/4/29,China used the novel coronavirus to cripple Western economies.,"The Chinese economy is closely connected to the world economy. Only when the world economy runs well can the Chinese economy thrive. The Chinese economy has been severely affected by the COVID-19 epidemic. China's GDP contracted by 6.8 percent in the first quarter of this year, recording its worst plunge since 1992 ¨C the first year when quarterly data became available. The last time China experienced economic contraction was in 1976. Since China joined the World Trade Organization in 2001, the Chinese economy has become increasingly integrated with the world economy. China's foreign trade volume stood at 31.54 trillion yuan in 2019, with exports reaching 17.23 trillion yuan, accounting for 18 percent of the total economy. China is interdependent on the rest of the world, and it is in China's interest for the world economy to recover quickly and grow steadily.","COVID-19,epidemic,China"
2020/4/29,China reopened wildlife markets.,"China doesn't have so-called wildlife markets. The country has banned the illegal hunting, trafficking and consumption of wildlife. China's top legislature, the National People's Congress Standing Committee, imposed a full ban on illegal wildlife trade and eating wild animals on Feb 24, 2020. The World Wide Fund for Nature praised the move.",China
2020/4/29,"Chinese people consume bat soup, causing the virus to jump from animals to humans.","Bats are absolutely not consumed by the Chinese, and there is so far no concrete evidence confirming the novel coronavirus comes from bats. Chinese don't eat bats, and it is not considered food in China. The Wuhan Huanan Seafood Market, where the outbreak was first documented, didn't sell bats. This has been reported by a German rumor-busting website.","China,Wuhan,coronavirus,outbreak"
2020/6/1,Just the facts: Naming of novel coronavirus,"As the COVID-19 pandemic continues its spread, another virus is hard at work: The virus of misinformation. One part of this campaign is labeling the novel coronavirus a ""Chinese virus"". So far, scientists have not determined the exact origin of the virus, and the place where a virus is first reported does not prove it originated from there. Moreover, as the WHO says, a place should never be associated with a disease.","WHO,novel coronavirus,COVID-19,coronavirus,pandemic"
2020/6/10,"During COVID-19, the Chinese government cracked down on journalists and medical workers as they exercised their right to freedom of speech on the internet, resulting in lack of information transparency.","All countries have strict regulations on the confirmation and information release of infectious diseases. This is an international common practice. In China, the Law of the People's Republic of China on the Prevention and Treatment of Infectious Diseases stipulates rigorous reviewing procedures and requirements concerning the reporting, verification and information release of infectious diseases. Open and transparent information is key to tackling epidemics. China's National Health Commission collects and releases, on a daily basis, data of confirmed cases of all provinces to ensure that the data is accurate and reliable. Any cover-up or under-reporting is strictly held accountable. At the same time, the Chinese government exercises law-based management over the internet, including social media. Heated debates among different views are easily found online in China. The Chinese government welcomes oversight by the public and media, while at the same time opposes illegal acts of starting and spreading rumor, creating panic or disrupting public order. In China, no one gets punished or penalized simply because of making remarks. China's criminal law clearly stipulates what actions constitute crimes. Violating the criminal law is a prerequisite of conviction. A handful of people, out of their hidden agenda, purport to have been convicted for speaking out in China. Their claim has no factual basis. The Chinese government has all along conducted its COVID-19 response in an open and transparent manner, and has made widely recognized achievements. China is a country under the rule of law. Whether during the fight against the virus or in other times, China's public security authorities handle cases and illegal activities in strict accordance with law.","confirmed,cases,government,infectious diseases,China,COVID-19,Treatment,Infectious Diseases"
2020/6/14,China detained Dr. Li Wenliang and other whistle-blowers.,"Li Wenliang was an ophthalmologist. He was not a whistle-blower and was not detained. Dr. Zhang Jixian, a respiratory doctor, was the first to report COVID-19 cases, and was awarded for this contribution. On the afternoon of 30 December 2019 (three days after Dr. Zhang Jixian reported cases of unknown infection and one day before Wuhan released the relevant information), Dr. Li Wenliang sent a message to his alumni WeChat group. He claimed that there were ""seven confirmed SARS cases"", and asked the group not to spread the information. However, leaked screenshots of the conversation spread quickly on the Internet and caused panic. On 3 January 2020, Wuhan's local police authorities asked Dr. Li to a police station for inquiry, and issued him a letter of reprimand as a means of persuasion. In mid-January, Dr. Li started to show symptoms of infection. And on 31 January, he was confirmed to be infected with COVID-19. On 7 February, Dr. Li passed away after all rescue measures were exhausted. On the same day, the National Health Commission publicly expressed condolences over his death. The National Supervisory Commission decided to send an inspection group to Wuhan to investigate issues related to Dr. Li. On 19 March, the inspection group released its findings and held a press briefing. Wuhan's Public Security Bureau announced the decision on the matter, pointing to the misapplication of relevant legal provisions in Dr. Li's case, and revoked the reprimand letter. On 5 March, Dr. Li Wenliang was named a ""national model healthcare worker in fighting COVID-19"". On 2 April, he was honored as a martyr. On 28 April, he was awarded the 24th ""May Fourth Medal"". Dr. Li Wenliang was a good doctor and a member of the CPC. Labeling Dr. Li Wenliang as an ""anti-establishment hero"" or ""awakener"" is highly disrespectful to Dr. Li and his family. It is pure political manipulation without decency. On 30 May, responding to the bills introduced by US lawmakers to rename the street outside the Chinese Embassy in Washington, D.C. ""Li Wenliang Plaza"", Dr. Li's wife Fu Xuejie issued a statement on Weibo that said, ""Wenliang was a CPC member. He loved his country deeply. Should he know about this, he would never allow anyone to hurt his motherland in his name.""","confirmed,Wuhan,cases,Washington,COVID-19,US"
2020/6/20,"China tried to cover up COVID-19, resulting in its spread across the world with over 10 million infections.","The Chinese government adopted the most comprehensive, stringent and thorough measures in the shortest possible time. The infections were largely kept within Wuhan with the chain of transmission effectively cut off.","government,Wuhan,transmission"
2020/6/25,"China has taken advantage of COVID-19 to conduct large-scale surveillance with big data, violating its citizens' privacy.","COVID-19 struck during China's Spring Festival, the annual travel peak on a scale rarely seen elsewhere in the world in this country with 1.4 billion people. This created unprecedented challenges for disease control. China has harnessed big data, artificial intelligence, 5G and other technologies, and devised a smart technology app called ""health code"" for virus containment. This app helped avert the risk of infection, and facilitated transportation and reopening of the economy. The ""health code"" app has been used in other countries as well, and tens of thousands of users downloaded it on the first day of its overseas launch. We have also noted that quite a number of countries have drawn on China's experience and practice in this regard in their COVID-19 response.","COVID-19,artificial intelligence,China"
2020/7/2,The Wuhan lockdown measures violated citizens' right to personal liberty.,"Wuhan, the capital of Hubei province, was the first to report novel coronavirus cases. At the most critical moment against the virus, Wuhan enforced temporary travel restrictions in accordance with the law, which mainly include suspension of public transportation, such as city buses, subway services, ferries and coaches, and temporary closing of transport links, including airports, train stations and expressways. These important measures strictly contained the infections at the source, cut off the chain of transmission, and effectively forestalled massive spread of the disease. These measures helped reduce case exportation to other parts of China and the rest of the world, playing a positive role in the containment of COVID-19","Wuhan,cases,novel coronavirus,transmission,COVID-19,China,coronavirus,Hubei province"
